ANO;% EM RELAÇÃO;% RELAÇÃO A REGIÃO;MÉDIA GERAL;MÉDIA CC;TOTAL DE ALUNOS RE;TOTAL ALUNOS CC;DESVIO PA;TOTAL ALUNOS;REGIAO
2017;0,091791648515776;1,3687734066881;39,98;38,42;30173;413;12,37;449932;N
2014;0,120238705472127;1,356270968663;40,3;40,62;28018;380;12,19;316038;N
2011;0,169559283715416;2,24904004388371;40,01;30,56;21876;492;10,95;290164;N
2008;0,169185653056621;2,91763297673375;28,19;21,53;26734;780;16,04;461032;N
2017;0,358943129183966;2,0168843819467;42,98;44,04;80074;1615;13,42;449932;NE
2014;0,487283174808093;1,96719636196413;42,71;45,09;78284;1540;14,25;316038;NE
2011;0,52418632221778;3,05532120043389;42,1;34,88;49782;1521;13,49;290164;NE
2008;0,602561210501657;3,16087703528394;30,38;24,68;87887;2778;18,05;461032;NE
2017;0,930362810380235;2,00805910006716;44,16;42,68;208460;4186;13,52;449932;SE
2014;1,32990336605092;2,38547939452072;45,44;43,81;176191;4203;13,6;316038;SE
2011;1,8968583283936;4,20248911964572;42,55;31,58;130970;5504;12,42;290164;SE
2008;2,09725138385188;4,39633888502408;32,25;25,38;219933;9669;16,21;461032;SE
2017;0,352719966572727;1,63201085950515;44,13;46,28;97242;1587;13,73;449932;S
2014;0,521139862927876;4,90982262632285;45,51;46,76;33545;1647;13,38;316038;S
2011;0,558304958575151;2,51155002945645;44,1;35,33;64502;1620;12,65;290164;S
2008;0,723377119158757;3,99539959986103;34,35;27,2;83471;3335;16,21;461032;S
2017;0,13490927517936;1,78618721125269;41,21;41,38;33983;607;13,65;449932;CO
2014;0,160107328865516;1,50842152332687;43,25;42,75;33545;506;14,07;316038;CO
2011;0,239519719882549;3,01727880524442;42,05;32,74;23034;695;12,69;290164;CO
2008;0,397803189366465;4,26442207082568;31,52;23,61;43007;1834;15,98;461032;CO
